10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
amberspry,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Assistant Professor
amjacobs,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Lecturer
amparker,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
amundra,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
amundra,,,01BRAND_INST___CC27400,Religious Studies Program,Current Internal,,
amysinger,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor
amysylee,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
amysylee,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
anaide,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
anamini,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
anconway,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
andreacarrillo,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
anhuang,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,Assistant Professor of Mathematics,Assistant Professor
anneberry,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
anrg,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
antebi,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
antler,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
aoko,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
aoko,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,The Kevy and Hortense Kaiserman Endowed Chair in the Humanities,Professor
aoko,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
aoko,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
aoko,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
aoko,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,
aparna,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
apineros,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
apl,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
appell,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
arellano,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
arnulfbecker,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
arodal,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
arodal,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
arodal,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
arodal,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
aros,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
arrom,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,,Associate Professor Emeritus/a
arrom,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Associate Professor Emeritus/a
art,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,,Associate Professor Emeritus/a
art,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
ascherbina,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Associate Professor
asegar,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Associate Professor
asewick,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
ashakow,,,01BRAND_INST___CC26500,Islamic and Middle Eastern Studies Program,Current Internal,,Lecturer
ashebanow,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
asivache,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,"Instructor in the Rabb School of Continuing Studies, Division of Graduate Professional Studies",Instructor
atowvim,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
atrelles,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Assistant Professor
avinash,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,Lecturer
avinash,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Lecturer
avinash,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,Lecturer
ayurik,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
bailis,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
banders,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
banders,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
barryshrage,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,Professor
bbal,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
bcallender,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
bclark,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
bcline,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
bcline,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
bdonahue,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
bdonahue,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
bdonahue,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
benkosk,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
bensinge,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
bernardi,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
bfriedma,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor Emeritus/a
bgc,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Professor
bggreen,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
bharris,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Lecturer
bhorton,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Assistant Professor
bhorton,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
bhorton,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
birren,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
birren,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
birren,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
birren,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
bishop,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
bisson,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
bkuttner,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Meyer and Ida Kirstein Professor in Social Planning and Administration,Professor
blebaron,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
blebaron,,,01BRAND_INST___CC43100,International Business School,Current Internal,"Abram L. and Thelma Sachar Professor of International Economics in the Brandeis International Business School; Program Director, Master of Science in Business Analytics",Professor
blocker,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
bmarkeson,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
bmorriso,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
bofangli,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
boguslaw,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
boykan,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
bpaulding,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
brai,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
bramson,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
brenng,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
brettler,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
broach,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
brolin,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
brookshedstrom,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,
brookshedstrom,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
brooten,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
broumas,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
brown,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
bswingle,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Assistant Professor
buchsbau,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
bulbul,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
burack,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
burg,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
burgja,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
burt,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
burt,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
burt,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
bxu,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor
calt1,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
camerona,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
campbell,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
campbell,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
carter,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
catherinekehoe,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,Lecturer,Lecturer
catherinescott,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,Lecturer
cbregman,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
ccarlson,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
cchester,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
cchilelli,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
cchoreau,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
ccoleman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
cdellalucia,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
cecchett,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
cecchett,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
celereid,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
cemoore,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
cer15,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
cer15,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
cer15,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
cerbil,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
cfaure,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
cfaure,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
cfreeze,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
cfreeze,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Frances and Max Elkon Chair in Modern Jewish History,Professor
cfreeze,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
cfreeze,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
cfrost,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Lecturer
cgillespie,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,Assistant Professor
cgolden,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,Associate Professor of Anthropology,Associate Professor
cha,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
chadw,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
chadw,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
chadw,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
chafe,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Professor
charlesfreilich,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Lecturer
chasalow,,,01BRAND_INST___CC11200,Department of Music,Current Internal,"Dean of the Graduate School of Arts and Sciences, Irving Fine Professor of Music",Professor
chase,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
chase,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
chenchen,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
chengyingye,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
chilinge,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
chiwaichow,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
chrismansley,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
christagould,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
chuxuzhang,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Assistant Professor
ckgill,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,"Instructor in the Rabb School of Continuing Studies, Division of Graduate Professional Studies",Instructor
clcummings,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
cleduc,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
climate,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
cmiller,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
cmorseharding,,,01BRAND_INST___Library,Library,Current Internal,Reference & Instruction Archivist,
cnoelke,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
coiner,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
conrad,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
cosler,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
cosler,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
courtnyelloyd,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
cowillia,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Associate Professor Emeritus/a
cpa,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
cpmiller,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
cpontbriand,,,01BRAND_INST___Library,Library,Current Internal,,
creed,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
crosen,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Associate Professor
crosen,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,Associate Professor
crosen,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,Associate Professor
csim,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,,Lecturer
cslodden,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
ctedford,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Lecturer
ctheobal,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,Assistant Professor of French and Francophone Studies,
cthomas,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Professor and Associate Dean for Research,Professor
cunningh,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
curnan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
cwalker,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,Associate Professor
cwalker,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,Associate Professor
cwalker,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Associate Professor
cwalker,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,Associate Professor
cwalker,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,Associate Professor
cynthiap,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dacevedo,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dariusz,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
davidalbert,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal,,
davideianni,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Lecturer
davidkatz,,,01BRAND_INST___CC18500,Department of History,Current Internal,Visiting Professor of History,Visiting Professor
davidswiniarski,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
davweil,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,Dean and Professor of the Heller School for Social Policy and Management,Professor
davweil,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Dean and Professor of the Heller School for Social Policy and Management,Professor
dawnskor,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Professor Emeritus/a
dberech,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dberg,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
dberg,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dbkatz,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,Professor of Psychology,Professor
dbkatz,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
dbkatz,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
dbowser,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dbrams,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dbreen91,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
dcooper,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
dcunning,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
dcunning,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
deborahpolivy,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
decter,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
decter,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
decter,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
dellelo,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,
dellenson,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
deng,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
denispatterson,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
derosier,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
dgrigorjev,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
dhodgson,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal, Dean of Arts and Sciences and Professor of Anthropology,Professor
dhughes,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dhunter,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Lecturer
dibble,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
digra,,,01BRAND_INST___CC25000,Education Program,Current Internal,,Assistant Professor
dilant,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
dilant,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
diouf,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
diouf,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
diouf,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
dizio,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
dizio,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
dizio,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
djlevin,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dkenyon,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dkern,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,Professor of Biochemistry and Howard Hughes Medical Institute Investigator,Professor
dkern,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
dkirshen,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
dlsmith,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,Lecturer
dlumerman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dlundgren,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dmichalides,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dnandy,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
dnandy,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dnandy,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
doherty,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
dolbear,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dolnik,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
doonan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dost,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
dowden,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
dowden,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
dowden,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
dowden,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,
dpeavey,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
dpettenu,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
dpettenu,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
dphillips,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
dpineo,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dpriddle,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
dshaby,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
dsherman,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,Associate Professor of English,Associate Professor
dsherman,,,01BRAND_INST___CC12400,Department of English,Current Internal,Associate Professor of English,Associate Professor
