Primary_Identifier,Affiliation_Unit_Code,Affiliation_Unit_Name,Affiliation_Unit_Type,Affiliation_Position,Affiliation_Position_Title,,
aliza,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
allara,CC11100,Department of Fine Arts,Current_Internal,,,,
allenr19,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
alonzaslaver,CC16200,Department of Biology,Current_Internal,,,,
altman,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
amaertens,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
amberspry,CC18100,Department of African and African American Studies,Current_Internal,Assistant Professor,,,
amberspry,CC18600,Department of Politics,Current_Internal,Assistant Professor,,,
amjacobs,CC11400,Department of Theater Arts,Current_Internal,Lecturer,,,
amparker,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
amundra,CC27400,Religious Studies Program,Current_Internal,,,,
amundra,CC18320,South Asian Studies Program,Current_Internal,,,,
amysinger,CC18500,Department of History,Current_Internal,Professor,,,
amysylee,CC16200,Department of Biology,Current_Internal,,,,
amysylee,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
anaide,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
anamini,CC43100,International Business School,Current_Internal,,,,
anconway,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
andreacarrillo,CC25100,Legal Studies Program,Current_Internal,,,,
anhuang,CC16700,Department of Mathematics,Current_Internal,Assistant Professor,Assistant Professor of Mathematics,,
anneberry,CC18700,Department of Psychology,Current_Internal,,,,
anrg,CC16700,Department of Mathematics,Current_Internal,,,,
antebi,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
antler,CC18200,American Studies Program,Current_Internal,,,,
aoko,CC18300,Department of Anthropology,Current_Internal,,,,
aoko,CC12100,Department of Classical Studies,Current_Internal,Professor,The Kevy and Hortense Kaiserman Endowed Chair in the Humanities,,
aoko,CC11100,Department of Fine Arts,Current_Internal,,,,
aoko,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
aoko,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,,,,
aoko,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
aparna,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
apineros,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
apl,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
appell,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
arellano,CC43100,International Business School,Current_Internal,,,,
arnulfbecker,CC25100,Legal Studies Program,Current_Internal,,,,
arodal,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
arodal,CC16200,Department of Biology,Current_Internal,,,,
arodal,CC27200,Neuroscience Program,Current_Internal,,,,
arodal,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
aros,CC43100,International Business School,Current_Internal,,,,
arrom,ND_INST,Brandeis University,Current_Internal,Associate Professor Emeritus/a,,,
arrom,CC18500,Department of History,Current_Internal,Associate Professor Emeritus/a,,,
art,ND_INST,Brandeis University,Current_Internal,Associate Professor Emeritus/a,,,
art,CC18600,Department of Politics,Current_Internal,,,,
ascherbina,CC43100,International Business School,Current_Internal,Associate Professor,,,
asegar,CC11200,Department of Music,Current_Internal,Associate Professor,,,
asewick,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
ashakow,CC26500,Islamic and Middle Eastern Studies Program,Current_Internal,Lecturer,,,
ashebanow,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
asivache,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,"Instructor in the Rabb School of Continuing Studies, Division of Graduate Professional Studies",,
atowvim,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
atrelles,CC18600,Department of Politics,Current_Internal,Assistant Professor,,,
avinash,CC18500,Department of History,Current_Internal,Lecturer,,,
avinash,CC26300,International and Global Studies Program,Current_Internal,Lecturer,,,
avinash,CC18320,South Asian Studies Program,Current_Internal,Lecturer,,,
ayurik,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
bailis,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
banders,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
banders,CC43100,International Business School,Current_Internal,,,,
barryshrage,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,Professor,,,
bbal,CC27200,Neuroscience Program,Current_Internal,,,,
bcallender,CC12400,Department of English,Current_Internal,,,,
bclark,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
bcline,CC12300,Department of Philosophy,Current_Internal,,,,
bcline,CC27200,Neuroscience Program,Current_Internal,,,,
bdonahue,CC18200,American Studies Program,Current_Internal,,,,
bdonahue,CC18500,Department of History,Current_Internal,,,,
bdonahue,CC25700,Environmental Studies Program,Current_Internal,,,,
benkosk,CC43100,International Business School,Current_Internal,,,,
bensinge,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
bernardi,CC16700,Department of Mathematics,Current_Internal,,,,
bfriedma,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,,,
bgc,CC43100,International Business School,Current_Internal,Professor,,,
bggreen,CC11400,Department of Theater Arts,Current_Internal,,,,
bharris,CC16200,Department of Biology,Current_Internal,Lecturer,,,
bhorton,CC18300,Department of Anthropology,Current_Internal,Assistant Professor,,,
bhorton,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
bhorton,CC18320,South Asian Studies Program,Current_Internal,,,,
birren,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
birren,CC16200,Department of Biology,Current_Internal,,,,
birren,CC18700,Department of Psychology,Current_Internal,,,,
birren,CC27200,Neuroscience Program,Current_Internal,,,,
bishop,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
bisson,CC16200,Department of Biology,Current_Internal,,,,
bkuttner,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,Meyer and Ida Kirstein Professor in Social Planning and Administration,,
blebaron,CC18400,Department of Economics,Current_Internal,,,,
blebaron,CC43100,International Business School,Current_Internal,Professor,"Abram L. and Thelma Sachar Professor of International Economics in the Brandeis International Business School; Program Director, Master of Science in Business Analytics",,
blocker,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
bmarkeson,CC18400,Department of Economics,Current_Internal,,,,
bmorriso,CC43100,International Business School,Current_Internal,,,,
bofangli,CC12450,University Writing Program,Current_Internal,,,,
boguslaw,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
boykan,CC11200,Department of Music,Current_Internal,,,,
bpaulding,CC11200,Department of Music,Current_Internal,,,,
brai,CC43100,International Business School,Current_Internal,,,,
bramson,CC25000,Education Program,Current_Internal,,,,
brenng,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
brettler,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
broach,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
brolin,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
brookshedstrom,CC12100,Department of Classical Studies,Current_Internal,,,,
brookshedstrom,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
brooten,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
broumas,CC12400,Department of English,Current_Internal,,,,
brown,CC16700,Department of Mathematics,Current_Internal,,,,
bswingle,CC16800,Martin A. Fisher School of Physics,Current_Internal,Assistant Professor,,,
buchsbau,CC16700,Department of Mathematics,Current_Internal,,,,
bulbul,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
burack,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
burg,CC18600,Department of Politics,Current_Internal,,,,
burgja,CC12450,University Writing Program,Current_Internal,,,,
burt,CC18200,American Studies Program,Current_Internal,,,,
burt,CC12400,Department of English,Current_Internal,,,,
burt,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
bxu,CC16500,Department of Chemistry,Current_Internal,Professor,,,
calt1,CC43100,International Business School,Current_Internal,,,,
camerona,CC11400,Department of Theater Arts,Current_Internal,,,,
campbell,CC12400,Department of English,Current_Internal,,,,
campbell,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
carter,CC18400,Department of Economics,Current_Internal,,,,
catherinekehoe,CC11100,Department of Fine Arts,Current_Internal,Lecturer,Lecturer,,
catherinescott,CC12450,University Writing Program,Current_Internal,Lecturer,,,
cbregman,CC16700,Department of Mathematics,Current_Internal,,,,
ccarlson,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
cchester,CC25700,Environmental Studies Program,Current_Internal,,,,
cchilelli,CC12500,Department of Romance Studies,Current_Internal,,,,
cchoreau,CC16700,Department of Mathematics,Current_Internal,,,,
ccoleman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
cdellalucia,CC11100,Department of Fine Arts,Current_Internal,,,,
cecchett,CC18400,Department of Economics,Current_Internal,,,,
cecchett,CC43100,International Business School,Current_Internal,,,,
celereid,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
cemoore,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
cer15,CC18100,Department of African and African American Studies,Current_Internal,,,,
cer15,CC18500,Department of History,Current_Internal,,,,
cer15,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
cerbil,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
cfaure,CC12500,Department of Romance Studies,Current_Internal,,,,
cfaure,CC26300,International and Global Studies Program,Current_Internal,,,,
cfreeze,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
cfreeze,CC18500,Department of History,Current_Internal,,,,
cfreeze,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Professor,Frances and Max Elkon Chair in Modern Jewish History,,
cfreeze,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
cfrost,CC11100,Department of Fine Arts,Current_Internal,Lecturer,,,
cgillespie,CC12100,Department of Classical Studies,Current_Internal,Assistant Professor,,,
cgolden,CC18300,Department of Anthropology,Current_Internal,Associate Professor,Associate Professor of Anthropology,,
cha,CC43100,International Business School,Current_Internal,,,,
chadw,CC18100,Department of African and African American Studies,Current_Internal,,,,
chadw,CC18500,Department of History,Current_Internal,,,,
chadw,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
chafe,CC11200,Department of Music,Current_Internal,Professor,,,
charlesfreilich,CC18600,Department of Politics,Current_Internal,Lecturer,,,
chasalow,CC11200,Department of Music,Current_Internal,Professor,"Dean of the Graduate School of Arts and Sciences, Irving Fine Professor of Music",,
chase,CC18600,Department of Politics,Current_Internal,,,,
chase,CC26300,International and Global Studies Program,Current_Internal,,,,
chenchen,CC12400,Department of English,Current_Internal,,,,
chengyingye,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
chilinge,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
chiwaichow,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
chrismansley,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
christagould,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
chuxuzhang,CC16600,Michtom School of Computer Science,Current_Internal,Assistant Professor,,,
ckgill,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
clcummings,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
cleduc,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
climate,CC25700,Environmental Studies Program,Current_Internal,,,,
cmiller,CC16100,Department of Biochemistry,Current_Internal,,,,
cmorseharding,Library,Library,Current_Internal,,Reference & Instruction Archivist,,
cnoelke,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
coiner,CC18400,Department of Economics,Current_Internal,,,,
conrad,CC18800,Department of Sociology,Current_Internal,,,,
cosler,CC18400,Department of Economics,Current_Internal,,,,
cosler,CC43100,International Business School,Current_Internal,,,,
courtnyelloyd,CC25000,Education Program,Current_Internal,,,,
cowillia,CC40100,Heller School for Social Policy and Management,Current_Internal,Associate Professor Emeritus/a,,,
cpa,CC12500,Department of Romance Studies,Current_Internal,,,,
cpmiller,CC12450,University Writing Program,Current_Internal,,,,
cpontbriand,Library,Library,Current_Internal,,,,
creed,CC43100,International Business School,Current_Internal,,,,
crosen,CC18800,Department of Sociology,Current_Internal,Associate Professor,,,
crosen,CC26300,International and Global Studies Program,Current_Internal,Associate Professor,,,
crosen,CC25100,Legal Studies Program,Current_Internal,Associate Professor,,,
csim,ND_INST,Brandeis University,Current_Internal,Lecturer,,,
cslodden,CC18800,Department of Sociology,Current_Internal,,,,
ctedford,CC11400,Department of Theater Arts,Current_Internal,Lecturer,,,
ctheobal,CC12500,Department of Romance Studies,Current_Internal,,,,
cthomas,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,Professor and Associate Dean for Research,,
cunningh,CC18700,Department of Psychology,Current_Internal,,,,
curnan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
cwalker,CC12100,Department of Classical Studies,Current_Internal,Associate Professor,,,
cwalker,CC12400,Department of English,Current_Internal,Associate Professor,,,
cwalker,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,Associate Professor,,,
cwalker,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Associate Professor,,,
cwalker,CC27100,Medieval and Renaissance Studies Program,Current_Internal,Associate Professor,,,
cynthiap,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dacevedo,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dariusz,CC16200,Department of Biology,Current_Internal,,,,
davidalbert,CC30800,Myra Kraft Transitional Year Program,Current_Internal,,,,
davideianni,CC11200,Department of Music,Current_Internal,Lecturer,,,
davidkatz,CC18500,Department of History,Current_Internal,Visiting Professor,Visiting Professor of History,,
davidswiniarski,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
davweil,CC18400,Department of Economics,Current_Internal,Professor,Dean and Professor of the Heller School for Social Policy and Management,,
davweil,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,Dean and Professor of the Heller School for Social Policy and Management,,
dawnskor,CC12400,Department of English,Current_Internal,Professor Emeritus/a,,,
dberech,CC43100,International Business School,Current_Internal,,,,
dberg,CC18400,Department of Economics,Current_Internal,,,,
dberg,CC43100,International Business School,Current_Internal,,,,
dbkatz,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
dbkatz,CC18700,Department of Psychology,Current_Internal,Professor,Professor of Psychology,,
dbkatz,CC27200,Neuroscience Program,Current_Internal,,,,
dbowser,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dbrams,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dbreen91,CC25100,Legal Studies Program,Current_Internal,,,,
dcooper,CC16200,Department of Biology,Current_Internal,,,,
dcunning,CC18800,Department of Sociology,Current_Internal,,,,
dcunning,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
deborahpolivy,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
decter,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
decter,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
decter,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
dellelo,CC26700,Journalism Program,Current_Internal,,,,
dellenson,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
deng,CC16500,Department of Chemistry,Current_Internal,,,,
denispatterson,CC16700,Department of Mathematics,Current_Internal,,,,
derosier,CC16200,Department of Biology,Current_Internal,,,,
dgrigorjev,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
dhodgson,CC18300,Department of Anthropology,Current_Internal,Professor,Dean of Arts and Sciences and Professor of Anthropology,,
dhughes,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dhunter,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Lecturer,,,
dibble,CC11400,Department of Theater Arts,Current_Internal,,,,
digra,CC25000,Education Program,Current_Internal,Assistant Professor,,,
dilant,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
dilant,CC16600,Michtom School of Computer Science,Current_Internal,,,,
diouf,CC18100,Department of African and African American Studies,Current_Internal,,,,
diouf,CC12400,Department of English,Current_Internal,,,,
diouf,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
dizio,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
dizio,CC18700,Department of Psychology,Current_Internal,,,,
dizio,CC27200,Neuroscience Program,Current_Internal,,,,
djlevin,CC43100,International Business School,Current_Internal,,,,
dkenyon,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dkern,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
dkern,CC16100,Department of Biochemistry,Current_Internal,Professor,Professor of Biochemistry and Howard Hughes Medical Institute Investigator,,
dkirshen,CC12450,University Writing Program,Current_Internal,,,,
dlsmith,CC25100,Legal Studies Program,Current_Internal,Lecturer,,,
dlumerman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dlundgren,CC43100,International Business School,Current_Internal,,,,
dmichalides,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dnandy,CC18400,Department of Economics,Current_Internal,,,,
dnandy,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dnandy,CC43100,International Business School,Current_Internal,,,,
doherty,CC18200,American Studies Program,Current_Internal,,,,
dolbear,CC43100,International Business School,Current_Internal,,,,
dolnik,CC16500,Department of Chemistry,Current_Internal,,,,
doonan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dost,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
dowden,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
dowden,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
dowden,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,,,,
dowden,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
dpeavey,CC16500,Department of Chemistry,Current_Internal,,,,
dpettenu,CC18400,Department of Economics,Current_Internal,,,,
dpettenu,CC43100,International Business School,Current_Internal,,,,
dphillips,CC25000,Education Program,Current_Internal,,,,
dpineo,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dpriddle,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
dshaby,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
dsherman,CC12501,Comparative Literature and Culture Program,Current_Internal,Associate Professor,Associate Professor of English,,
dsherman,CC12400,Department of English,Current_Internal,Associate Professor,Associate Professor of English,,
dsherman,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,Associate Professor,Associate Professor of English,,
dsherman,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Associate Professor,Associate Professor of English,,
dsteele,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
dsull,CC25000,Education Program,Current_Internal,,,,
dtroyanov,CC11400,Department of Theater Arts,Current_Internal,Associate Professor,,,
dtybor01,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Assistant Professor,,,
dunigan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
dwallace,CC18100,Department of African and African American Studies,Current_Internal,Assistant Professor,,,
dwallace,CC18800,Department of Sociology,Current_Internal,Assistant Professor,,,
dwallace,CC25000,Education Program,Current_Internal,Assistant Professor,,,
dwhalen,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
dzinner,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,Associate Professor,"Associate Professor; Associate Dean for Academic Personnel; Director, Heller Undergraduate Program",,
dzinner,CC40100,Heller School for Social Policy and Management,Current_Internal,,Associate Chair,,
eacmills,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
eafrey,CC11200,Department of Music,Current_Internal,Assistant Professor,,,
ebayone,CC43100,International Business School,Current_Internal,,,,
ebellin,CC18600,Department of Politics,Current_Internal,,,,
ebkogan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
ebrad,CC12400,Department of English,Current_Internal,,,,
ebrainer,CC18400,Department of Economics,Current_Internal,,,,
ebrainer,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
ebrainer,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
ebrainer,CC43100,International Business School,Current_Internal,,,,
edkaplan,CC12500,Department of Romance Studies,Current_Internal,Professor Emeritus/a,Kevy and Hortense Kaiserman Professor in the Humanities,,
edwarddumas,CC43100,International Business School,Current_Internal,,,,
ehackett,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,Vice Provost for Research and Professor of Sociology,,
ehemdal,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
ehiller,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
eigsti,CC11400,Department of Theater Arts,Current_Internal,,,,
eileenma,CC18200,American Studies Program,Current_Internal,,,,
eileenma,CC26700,Journalism Program,Current_Internal,,,,
eissenbe,CC11200,Department of Music,Current_Internal,,,,
eizmang,CC18400,Department of Economics,Current_Internal,,,,
eizmang,CC43100,International Business School,Current_Internal,,,,
ejwright,CC18700,Department of Psychology,Current_Internal,Associate Professor,,,
ekjacobs,CC12450,University Writing Program,Current_Internal,Lecturer,,,
elee2395,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
elenag,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
eltobgui,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
embazzell,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
embazzell,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
emilieconnolly,CC18500,Department of History,Current_Internal,,,,
engerman,CC18500,Department of History,Current_Internal,,,,
engerman,CC18320,South Asian Studies Program,Current_Internal,,,,
eolson,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
epstein,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
epstein,CC16500,Department of Chemistry,Current_Internal,,University Professor and Henry F. Fischbach Professor of Chemistry,,
epstein,CC27200,Neuroscience Program,Current_Internal,,,,
eringee,CC11200,Department of Music,Current_Internal,Associate Professor,,,
ernestgreen,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
eschatt,CC18300,Department of Anthropology,Current_Internal,Associate Professor,,,
eschatt,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
eschatt,CC25600,East Asian Studies Program,Current_Internal,,,,
eschatt,CC26300,International and Global Studies Program,Current_Internal,,,,
eschatt,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
eschatt,CC27400,Religious Studies Program,Current_Internal,,,,
esession,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
esisli,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Professor,,,
esmith2,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,Associate Professor of the Practice,,
esmith2,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,Associate Professor,Director,,
espinosa,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
euretsky,CC25600,East Asian Studies Program,Current_Internal,Associate Professor,,,
euretsky,CC26300,International and Global Studies Program,Current_Internal,Associate Professor,,,
